nm	02_Sample_Exc=300nm_Em=450nm_T=300K_I=10mkA_Fon=201.txt
658.000	48996.0	0.0
659.998	48996.0	0.0
661.996	48996.0	0.0
663.994	48996.0	0.0
665.992	48995.5	0.0
667.990	48996.0	0.0
669.988	48996.0	0.0
671.986	48996.0	0.0
673.984	48996.0	0.0
675.982	48996.0	0.0
677.980	48996.0	0.0
679.978	48996.0	0.0
681.976	48996.0	0.0
683.974	48996.0	0.0
685.972	48996.0	0.0
687.970	48996.0	0.0
689.968	48995.5	0.0
691.966	48996.0	0.0
693.964	48996.0	0.0
695.962	48995.9	0.0
697.960	48996.0	0.0
699.958	48996.0	0.0
701.956	48996.0	0.0
703.954	48996.0	0.0
