time	02_Sample_Exc=300nm_Em=450nm_T=700K_I=10mkA_Fon=201.txt_dt=_DT=6s
0.000	0
6.151	0
12.302	0
18.452	0
24.603	0
30.754	0
36.905	0
43.056	0
49.206	0
55.357	0
61.508	0
67.659	0
73.810	0
79.960	0
86.111	0
92.262	0
98.413	0
104.564	0
110.714	0
116.865	0
123.016	0
129.167	0
135.318	0
141.468	0
147.619	0
153.770	0
159.921	0
166.072	0
172.222	0
178.373	0
184.524	0
190.675	0
196.826	0
202.976	0
209.127	0
215.278	0
221.429	0
227.580	0
233.730	0
239.881	0
246.032	0
252.183	0
258.334	0
264.484	0
270.635	0
276.786	0
282.937	0
289.088	0
295.238	0
301.389	0
307.540	0
313.691	0
319.842	0
325.992	0
332.143	0
338.294	0
344.445	0
350.596	0
356.746	0
362.897	0
369.048	0
375.199	0
381.350	0
387.500	0
393.651	0
399.802	0
405.953	0
412.104	0
418.254	0
424.405	0
430.556	0
436.707	0
442.858	0
449.008	0
455.159	0
461.310	0
467.461	0
473.612	0
479.762	0
485.913	0
492.064	0
498.215	0
504.366	0
510.516	0
516.667	0
522.818	0
528.969	0
535.120	0
541.270	0
547.421	0
553.572	0
559.723	0
565.874	0
572.024	0
578.175	0
584.326	0
590.477	0
596.628	0
602.778	0
608.929	0
615.080	0
621.231	0
627.382	0
633.532	0
639.683	0
645.834	0
651.985	0
658.136	0
664.286	0
670.437	0
676.588	0
682.739	0
688.890	0
695.040	0
701.191	0
707.342	0
713.493	0
719.644	0
725.794	0
731.945	0
738.096	0
744.247	0
750.398	0
756.548	0
762.699	0
768.850	0
775.001	0
781.152	0
787.302	0
793.453	0
799.604	0
805.755	0
811.906	0
818.056	0
824.207	0
830.358	0
836.509	0
842.660	0
848.810	0
854.961	0
861.112	0
867.263	0
873.414	0
879.564	0
885.715	0
891.866	0
898.017	0
904.168	0
910.318	0
916.469	0
922.620	0
928.771	0
934.922	0
941.072	0
947.223	0
953.374	0
959.525	0
965.676	0
971.826	0
977.977	0
984.128	0
990.279	0
996.430	0
1002.580	0
1008.731	0
1014.882	0
1021.033	0
1027.184	0
1033.334	0
1039.485	0
1045.636	0
1051.787	0
1057.938	0
1064.088	0
1070.239	0
1076.390	0
1082.541	0
1088.692	0
1094.842	0
1100.993	0
1107.144	0
1113.295	0
1119.446	0
1125.596	0
1131.747	0
1137.898	0
1144.049	0
1150.200	0
1156.350	0
1162.501	0
1168.652	0
1174.803	0
1180.954	0
1187.104	0
1193.255	0
1199.406	0
1205.557	0
1211.708	0
1217.858	0
1224.009	0
1230.160	0
1236.311	0
1242.462	0
1248.612	0
1254.763	0
1260.914	0
1267.065	0
1273.216	0
1279.366	0
1285.517	0
1291.668	0
1297.819	0
1303.970	0
1310.120	0
1316.271	0
1322.422	0
1328.573	0
1334.724	0
1340.874	0
1347.025	0
1353.176	0
1359.327	0
1365.478	0
1371.628	0
1377.779	0
1383.930	0
1390.081	0
1396.232	0
1402.382	0
1408.533	0
1414.684	0
1420.835	0
1426.986	0
1433.136	0
1439.287	0
1445.438	0
1451.589	0
1457.740	0
1463.890	0
1470.041	0
1476.192	0
